-1,70,70,-1,0
0,2,48,47,0
1,2,54,41,0
2,2,54,33,0
3,2,42,29,0
4,2,44,36,1
5,2,41,36,0
6,2,36,38,0
7,2,23,39,0
8,2,34,20,0
9,2,30,21,0
10,2,23,19,0
11,2,15,18,0
12,2,9,19,0
13,2,15,9,0
14,2,15,4,0
15,2,33,0,0
16,2,32,6,0
17,2,39,13,0
18,2,58,11,0
19,2,65,0,0
20,2,69,6,1
21,3,103,77,1
22,3,103,82,0
23,3,103,86,0
24,3,100,99,0
25,3,107,102,0
26,3,110,99,0
27,3,117,92,0
28,3,120,102,0
29,3,138,105,0
30,3,137,101,0
31,3,137,96,0
32,3,137,84,0
33,3,138,78,0
34,3,139,73,0
35,3,139,72,1
36,3,139,68,1
37,4,44,58,0
38,4,36,54,0
39,4,32,52,0
40,4,27,46,0
41,4,26,50,0
42,4,30,57,0
43,4,29,60,0
44,4,28,62,0
45,4,20,69,0
46,4,18,70,0
47,4,16,62,0
48,4,13,48,0
49,4,12,48,0
50,4,4,44,0
51,4,4,71,0
52,4,8,87,0
53,4,10,86,1
54,5,114,109,0
55,5,116,105,0
56,5,139,110,0
57,5,136,123,1
58,5,137,127,0
59,5,137,137,0
60,5,132,133,0
61,5,133,130,0
62,5,121,123,0
63,5,121,124,0
64,5,115,124,0
65,5,109,131,0
66,5,109,139,1
67,6,29,94,0
68,6,27,104,0
69,6,22,104,0
70,6,20,106,0
71,6,18,104,0
72,6,16,92,0
73,6,5,99,0
74,6,2,106,0
75,6,10,111,0
76,6,19,120,0
77,6,13,129,0
78,6,8,138,0
79,6,12,138,0
80,6,17,138,0
81,6,26,130,0
82,6,37,138,0
83,6,37,125,0
84,6,36,124,0
85,6,38,122,0
86,6,33,117,0
87,6,40,113,1
88,7,79,80,0
89,7,70,83,0
90,7,66,82,0
91,7,65,80,0
92,7,60,84,0
93,7,58,80,0
94,7,54,78,0
95,7,47,83,0
96,7,51,92,0
97,7,58,95,0
98,7,66,91,0
99,7,67,96,0
100,7,70,94,1
